Version,1.2
Date,15-07-13
Time,10h10
Force Threshold, Label2, pia, 0.12
Force Threshold, Label1, vessel, 0.08
Force Threshold, Label3, target, 3.40282e+038
Force Threshold, Label4, grey matter, 0.08
Force Threshold, Label5, white matter, 3.40282e+038
Number of materials,5
Number of targets,0
Time(s), InstrumentLeftHand,LeftSwitch, LeftKnob,  ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label2_pia, CumTimeLeftForceOverThreshold_label1_vessel, CumTimeLeftForceOverThreshold_label3_target, CumTimeLeftForceOverThreshold_label4_grey matter, CumTimeLeftForceOverThreshold_label5_white matter, Label2_pia_TouchedByLeft, Label1_vessel_TouchedByLeft, Label3_target_TouchedByLeft, Label4_grey matter_TouchedByLeft, Label5_white matter_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z , quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label2_pia, CumTimeRightForceOverThreshold_label1_vessel, CumTimeRightForceOverThreshold_label3_target, CumTimeRightForceOverThreshold_label4_grey matter, CumTimeRightForceOverThreshold_label5_white matter, Label2_pia_TouchedByRight, Label1_vessel_TouchedByRight, Label3_target_TouchedByRight, Label4_grey matter_TouchedByRight, Label5_white matter_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel2_pia, Volume_ofLabel1_vessel, Volume_ofLabel3_target, Volume_ofLabel4_grey matter, Volume_ofLabel5_white matter 
0.219967 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.85288 , -0.26799 , 35.3637 , 0.230554 , 0.230953 , 0.0290735 , 0.944807 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.82884 , -2.16942 , 43.677 , -0.0730884 , 0.367166 , 0.265803 , 0.888367 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.239956 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.65777 , -0.213789 , 35.2533 , 0.230084 , 0.232177 , 0.0279128 , 0.944657 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.84364 , -2.11921 , 43.5061 , -0.0733659 , 0.366552 , 0.266238 , 0.888468 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.260062 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.40009 , -0.264787 , 35.079 , 0.228727 , 0.233514 , 0.0275002 , 0.944669 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.82914 , -1.98362 , 43.3301 , -0.0729731 , 0.365791 , 0.265701 , 0.888974 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.280208 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.1413 , -0.317793 , 34.8703 , 0.227502 , 0.234633 , 0.0263545 , 0.94472 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.80813 , -1.88805 , 43.1739 , -0.0728606 , 0.365396 , 0.26577 , 0.889125 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.300231 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.905255 , -0.355417 , 34.6887 , 0.22665 , 0.235582 , 0.0253277 , 0.944717 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.76858 , -1.77302 , 43.0125 , -0.0724912 , 0.365153 , 0.265648 , 0.889292 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.319979 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.647759 , -0.351502 , 34.6174 , 0.22644 , 0.23718 , 0.0251067 , 0.944373 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.71469 , -1.68311 , 42.8806 , -0.0720526 , 0.365307 , 0.265659 , 0.889261 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.339964 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.459251 , -0.309678 , 34.5894 , 0.226311 , 0.238364 , 0.024369 , 0.944125 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.6522 , -1.63584 , 42.7926 , -0.0715748 , 0.365817 , 0.265759 , 0.88906 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.359958 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.317543 , -0.235055 , 34.5767 , 0.226443 , 0.239072 , 0.0237554 , 0.94393 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.64399 , -1.59196 , 42.6971 , -0.070729 , 0.365461 , 0.266159 , 0.889154 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.379957 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.173326 , -0.185459 , 34.5473 , 0.226265 , 0.239407 , 0.0238046 , 0.943887 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.65529 , -1.56698 , 42.6467 , -0.0700766 , 0.364925 , 0.266102 , 0.889443 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.399981 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.0525049 , -0.138747 , 34.5325 , 0.225935 , 0.240872 , 0.0227796 , 0.943618 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.68036 , -1.57236 , 42.6523 , -0.0697593 , 0.364526 , 0.266 , 0.889662 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
